Title,Ratings,Raters,Directors,Writers,Actors,Country,Language,Date,Budget,Openning Weekend,Gross USA,cumulative worldwide,Studios,Durations,Romance,Horror,Music,Fantasy,Mystery,Sci-Fi,Biography,Family,Drama,Sport,History,Thriller,Animation,Adventure,Crime,Musical,Western,War,Action,Comedy,Year,Month
Charlie's Angels,5.5,175488.0,McG,Ryan Rowe,"['Cameron Diaz', 'Drew Barrymore', 'Lucy Liu']",USA,English,2000-11-23,93000000.0,40128550.0,125305545.0,264105545.0,"['Columbia Pictures', 'Flower Films (II)', 'Tall Trees Productions']",98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,11.0
RocknRolla,7.3,234636.0,Guy Ritchie,Guy Ritchie,"['Gerard Butler', 'Tom Wilkinson', 'Idris Elba']",UK,English,2008-10-30,18000000.0,144701.0,5700626.0,25740863.0,"['Warner Bros.', 'Dark Castle Entertainment', 'Toff Guy Films']",114.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,10.0
Ocean's Twelve,6.5,356726.0,Steven Soderbergh,George Nolfi,"['George Clooney', 'Brad Pitt', 'Julia Roberts']",USA,English,2004-12-09,110000000.0,39153380.0,125544280.0,362744280.0,"['Warner Bros.', 'Village Roadshow Pictures', 'Jerry Weintraub Productions']",125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2004.0,12.0
French Exit,6.2,121.0,Azazel Jacobs,Patrick DeWitt,"['Michelle Pfeiffer', 'Lucas Hedges', 'Tracy Letts']",UK,English,2021-02-26,40000000.0,14635269.5,53577751.0,99666355.0,"['Blinder Films', 'Elevation Pictures', 'Rocket Science']",110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021.0,2.0
The Guest,6.7,90772.0,Adam Wingard,Simon Barrett,"['Dan Stevens', 'Sheila Kelley', 'Maika Monroe']",USA,English,2014-09-05,5000000.0,84527.0,332890.0,2700051.0,"['HanWay Films', 'Snoot Entertainment']",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,9.0
Captive State,6.0,47577.0,Rupert Wyatt,Erica Beeney,"['John Goodman', 'Ashton Sanders', 'Jonathan Majors']",USA,English,2019-03-15,25000000.0,3131525.0,5958315.0,8808611.0,"['Participant', 'Lightfuse & Gettaway', 'Amblin Partners']",109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2019.0,3.0
The Visit,6.2,113097.0,M. Night Shyamalan,M. Night Shyamalan,"['Olivia DeJonge', 'Ed Oxenbould', 'Deanna Dunagan']",USA,English,2015-09-24,5000000.0,25427560.0,65206105.0,98450062.0,"['Blinding Edge Pictures', 'Blumhouse Productions', 'Neighborhood Film Co.']",94.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2015.0,9.0
Reign of Fire,6.2,125874.0,Rob Bowman,Gregg Chabot,"['Matthew McConaughey', 'Christian Bale', 'Izabella Scorupco']",USA,English,2002-10-31,60000000.0,15632281.0,43061982.0,82150183.0,"['Touchstone Pictures', 'Spyglass Entertainment', 'The Zanuck Company']",101.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,10.0
Friends with Benefits,6.5,338155.0,Will Gluck,Keith Merryman,"['Mila Kunis', 'Justin Timberlake', 'Patricia Clarkson']",USA,English,2011-08-18,35000000.0,18622150.0,55802754.0,149542245.0,"['Screen Gems', 'Castle Rock Entertainment', 'Zucker Productions']",109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,8.0
Poseidon,5.7,98145.0,Wolfgang Petersen,Mark Protosevich,"['Richard Dreyfuss', 'Kurt Russell', 'Emmy Rossum']",USA,English,2006-06-01,160000000.0,22155410.0,60674817.0,181674817.0,"['Warner Bros.', 'Virtual Studios', 'Radiant Productions']",98.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2006.0,6.0
